date,ticker,vol30,vol90
2025-10-03,BTC-USD,0.35618936935357565,0.3105872625325547
2025-10-03,ETH-USD,0.7126358487793676,0.6420678113603301
2025-10-03,SOL-USD,0.7540064579259435,0.6904459877010076
2025-10-06,AAPL,0.2427146186273219,0.22551425210919898
2025-10-06,MSFT,0.15403983248923867,0.15217946408519475
2025-10-06,NVDA,0.29769038299747685,0.2772399801775199
2025-10-06,GOOGL,0.3201124238721407,0.26115029164308423
2025-10-06,AMZN,0.23566089495035153,0.26354998124017265
2025-10-06,META,0.18718306260125778,0.29759915802707926
2025-10-06,TSLA,0.4746381090320797,0.5424451764553014
2025-10-06,AMD,0.7625519718615049,0.5747385326676446
2025-10-06,NFLX,0.21713890235651348,0.24267253244175788
2025-10-06,CRM,0.29856487324540526,0.2663721891193051
2025-10-06,ORCL,1.1594332599701473,0.752474107649654
2025-10-06,ADBE,0.24706151599544224,0.2629064995438955
2025-10-06,AVGO,0.4729481127771863,0.36904256774641486
2025-10-06,QCOM,0.1921513962524848,0.25075543496877123
2025-10-06,INTC,0.8035848936313513,0.6393600114222682
2025-10-06,BTC-USD,0.3431192857331417,0.3114573594993745
2025-10-06,ETH-USD,0.5856825578410281,0.644243672850341
2025-10-06,SOL-USD,0.6878774233384478,0.6886413944495784
2025-10-07,AAPL,0.24233313055769118,0.22542881721753966
2025-10-07,MSFT,0.15541278710418222,0.15314668230609574
2025-10-07,NVDA,0.29677494348812417,0.2731177575127321
2025-10-07,GOOGL,0.32801749829207605,0.2636990303059222
2025-10-07,AMZN,0.23594199641125824,0.26352058295400815
2025-10-07,META,0.18726476516628782,0.2977107988489601
2025-10-07,TSLA,0.4991876772683704,0.5482865598347869
2025-10-07,AMD,0.7606842246410965,0.576999985921053
2025-10-07,NFLX,0.22628684641358432,0.243781551519549
2025-10-07,CRM,0.30687038081680695,0.26387650820259934
2025-10-07,ORCL,1.1631511440961662,0.7541386255388123
2025-10-07,ADBE,0.24704020644258956,0.2628655499139066
2025-10-07,AVGO,0.47283460982552844,0.36888222179242686
2025-10-07,QCOM,0.1985913869497093,0.25301612456616923
2025-10-07,INTC,0.8002906954029461,0.6391257643768042
2025-10-07,BTC-USD,0.3053546239704372,0.3129147340353551
2025-10-07,ETH-USD,0.5353874458609549,0.6500295877133857
2025-10-07,SOL-USD,0.6754977301406466,0.6922910314897388
2025-10-08,AAPL,0.2418941815774124,0.2254796583359135
2025-10-08,MSFT,0.1544613610142781,0.15310490064523893
2025-10-08,NVDA,0.3016521460602942,0.26927858639206315
2025-10-08,GOOGL,0.3274666272154802,0.2639859795093995
2025-10-08,AMZN,0.24039016599085028,0.2645319177269097
2025-10-08,META,0.18869520464448913,0.2978184431283795
2025-10-08,TSLA,0.49901391269300716,0.545120735219086
2025-10-08,AMD,0.8180900352535275,0.6016903427986572
2025-10-08,NFLX,0.23285256620654732,0.24391173476854636
2025-10-08,CRM,0.3033382345407582,0.26383042831358905
2025-10-08,ORCL,1.1625862620179586,0.7541160371178713
2025-10-08,ADBE,0.23848264031929317,0.2627256421065916
2025-10-08,AVGO,0.47666151259122425,0.3708363585001798
2025-10-08,QCOM,0.1964106813423838,0.25093604805981906
2025-10-08,INTC,0.7976774129918581,0.6351452015204775
2025-10-08,BTC-USD,0.3055023781201454,0.3123895504968852
2025-10-08,ETH-USD,0.5157912355570792,0.6456333118319029
2025-10-08,SOL-USD,0.6722283213581266,0.6855737647787356
2025-10-09,AAPL,0.24845098721537573,0.22757517439207114
2025-10-09,MSFT,0.15362820044895972,0.1534159234522
2025-10-09,NVDA,0.30543102984725,0.2695134587725819
2025-10-09,GOOGL,0.33162326536051195,0.2633667557055192
2025-10-09,AMZN,0.24266735201655337,0.26481827145894127
2025-10-09,META,0.19902545595550675,0.2940159837066176
2025-10-09,TSLA,0.4993379632984848,0.5448847890438712
2025-10-09,AMD,0.8206343661939831,0.6010077623616443
2025-10-09,NFLX,0.23629628907862815,0.2444652003605825
2025-10-09,CRM,0.29926867196949875,0.2652542115954556
2025-10-09,ORCL,1.1642130538164361,0.7551334503506956
2025-10-09,ADBE,0.23826492537947463,0.2589365080356771
2025-10-09,AVGO,0.4770196861336239,0.36887073021489203
2025-10-09,QCOM,0.20080918820869426,0.25171947680640383
2025-10-09,INTC,0.7976958175275248,0.6351465411074848
2025-10-09,BTC-USD,0.30842081229448826,0.31226034790745333
2025-10-09,ETH-USD,0.5222680881993222,0.6482673322492583
2025-10-09,SOL-USD,0.6765472018655873,0.6889279959897695
2025-10-10,AAPL,0.27088622955767183,0.2357521977607356
2025-10-10,MSFT,0.1666502210878527,0.15829671449270388
2025-10-10,NVDA,0.33842941393229153,0.28053238448568174
2025-10-10,GOOGL,0.33677031005002633,0.26426628204431896
2025-10-10,AMZN,0.2799397980690728,0.2781659668671956
2025-10-10,META,0.22650321372021556,0.3011850240734624
2025-10-10,TSLA,0.5250601155698839,0.5522865729234627
2025-10-10,AMD,0.8607266403995185,0.617351941793723
2025-10-10,NFLX,0.23701591137807718,0.24493914448083431
2025-10-10,CRM,0.29714551967754277,0.2656144957426348
2025-10-10,ORCL,1.165822151299197,0.7558190053028887
2025-10-10,ADBE,0.25119739419831416,0.25963901976077347
2025-10-10,AVGO,0.50660711937892,0.3804089823562737
2025-10-10,QCOM,0.2937741093749325,0.2797375253419049
2025-10-10,INTC,0.8117968305826495,0.63883058204853
2025-10-10,BTC-USD,0.37254204910768224,0.33428842807796155
2025-10-10,ETH-USD,0.6272897316459879,0.6819788478704636
2025-10-10,SOL-USD,0.7855418333091158,0.7334518803974397
2025-10-13,AAPL,0.27157505421797756,0.23596595023019315
2025-10-13,MSFT,0.1665222172247174,0.15850276593673904
2025-10-13,NVDA,0.3315279954390815,0.28365164414245964
2025-10-13,GOOGL,0.34646026522381934,0.2681230725306811
2025-10-13,AMZN,0.2839370552582817,0.27929802514298924
2025-10-13,META,0.22717931729975357,0.29759372523949507
2025-10-13,TSLA,0.5274538041927233,0.5551328403833284
2025-10-13,AMD,0.8502944814313466,0.6173258128337128
2025-10-13,NFLX,0.23036495673613228,0.24310573912268213
2025-10-13,CRM,0.3094727247141086,0.2702379897613653
2025-10-13,ORCL,1.1537595404567993,0.7590751734136323
2025-10-13,ADBE,0.2505337953777791,0.25977479431928824
2025-10-13,AVGO,0.5651309805949432,0.41230673674875035
2025-10-13,QCOM,0.3335647899006172,0.29330651575745453
2025-10-13,INTC,0.8045023062390049,0.6392002457445237
2025-10-13,BTC-USD,0.3586252632246299,0.3352561175929581
2025-10-13,ETH-USD,0.6963354777159895,0.701985126538349
2025-10-13,SOL-USD,0.8350924683673909,0.7521990449321408
2025-10-14,AAPL,0.26896406695192837,0.2349409603266594
2025-10-14,MSFT,0.16622978026662044,0.15809677678115366
2025-10-14,NVDA,0.3527959903902548,0.2931930370506889
2025-10-14,GOOGL,0.3445388816577531,0.2680673610030567
2025-10-14,AMZN,0.2842801586887951,0.2808012222847755
2025-10-14,META,0.22838638714718698,0.2979720747057134
2025-10-14,TSLA,0.5281482143405822,0.49811671513144384
