date,avg_vol30,vol30_dispersion,avg_pairwise_corr,port_vol30,vix,regime_id,regime_name,regime_name_smoothed
2024-04-30,0.4252065524971693,0.2226785849611342,0.2803271355617685,0.2374310338336988,15.65,1.0,Normal,Normal
2024-05-01,0.4223722535631977,0.2094887696444131,0.276751277166408,0.2326072852520161,15.39,1.0,Normal,Normal
2024-05-02,0.4169281083060251,0.1829282241775315,0.2733907367022045,0.2224853743115593,14.68,0.0,Low,Normal
2024-05-03,0.4218865776058075,0.1824903108987052,0.2776753084455379,0.2354851139118049,13.49,0.0,Low,Normal
2024-05-06,0.4257574972602824,0.1829875866225521,0.2809785226790416,0.2420864914416558,13.49,0.0,Low,Low
2024-05-07,0.4169574168163232,0.173817383808011,0.2812973738824262,0.2398722477138855,13.23,0.0,Low,Low
2024-05-08,0.4170154615602379,0.1738328095898745,0.281186944721021,0.2401329388627782,13.0,0.0,Low,Low
2024-05-09,0.4173534258150779,0.1786381333133311,0.2798121474192365,0.2407352890882273,12.69,0.0,Low,Low
2024-05-10,0.4181921437004829,0.1795081283451976,0.2759439690296751,0.2411202003241682,12.55,0.0,Low,Low
2024-05-13,0.418537093447536,0.1801514271780323,0.2714093066701873,0.2414835302205079,13.6,0.0,Low,Low
2024-05-14,0.4178891236476639,0.1727801641967903,0.2714142051196044,0.2376606100043651,13.42,0.0,Low,Low
2024-05-15,0.4268830806447621,0.1849511662329649,0.2755919980006133,0.2515481025168257,12.45,0.0,Low,Low
2024-05-16,0.4201778229101882,0.1848878173622281,0.2670210292007035,0.2477408741333978,12.42,0.0,Low,Low
2024-05-17,0.4183818000943355,0.1884748200104026,0.2671476184387106,0.248820472783928,11.99,0.0,Low,Low
2024-05-20,0.4288939241941412,0.2040874273186503,0.2684853013067607,0.2580694838733789,12.15,0.0,Low,Low
2024-05-21,0.4285725284842131,0.2049002015148375,0.2683162227651421,0.2574966831968107,11.86,0.0,Low,Low
2024-05-22,0.4271581581246249,0.2058663555863776,0.2695167222814364,0.2573508887032187,12.29,0.0,Low,Low
2024-05-23,0.4287707472372686,0.2095061278391446,0.271033323479035,0.2552955385174411,12.77,1.0,Normal,Low
2024-05-24,0.421726192204584,0.19999914022787,0.2691033517322169,0.2396243879665037,11.93,0.0,Low,Low
2024-05-28,0.4088153581651285,0.1958610956538306,0.2700796549864606,0.2220262877350788,12.92,0.0,Low,Low
2024-05-29,0.4092161092997192,0.1964012928436245,0.2670166448037358,0.2242686469216335,14.28,0.0,Low,Low
2024-05-30,0.4362188755637013,0.1813923188624228,0.260665477604206,0.22967489954254,14.47,0.0,Low,Low
2024-05-31,0.4355900911574913,0.1810037279768807,0.2583761067803719,0.2296103390883968,12.92,0.0,Low,Low
