date,port_return,port_index,port_drawdown
2022-03-29,0.0192891598220982,100.75641091102894,-0.14507636956191816
2022-03-30,-0.011645950129832883,99.58300677429814,-0.15503276752681583
2022-03-31,-0.019124126016409178,97.67856880365353,-0.17119202736036943
2022-04-01,0.0047004072852800454,98.13769786007396,-0.16729629232767596
2022-04-04,0.025313404245264102,100.6218970777056,-0.14621772675883615
2022-04-05,-0.029142166022651222,97.68955704755298,-0.1710987915128267
2022-04-06,-0.03921494737757236,93.85866620859483,-0.20360410878485746
2022-04-07,0.004158459355291522,94.24897365716515,-0.20029232884051806
2022-04-08,-0.022179448606563235,92.15858338971472,-0.2180294040332742
2022-04-11,-0.03386743428567565,89.0374086229026,-0.24451274180550786
2022-04-12,-0.00034764214840625013,89.00645546688042,-0.24477538101904006
2022-04-13,0.019561092011457885,90.7475189318818,-0.23000236275783525
2022-04-14,-0.02955432831560648,88.06553696354226,-0.25275912573113135
2022-04-18,0.008667909768724693,88.82888109167654,-0.24628210925746585
2022-04-19,0.024571269370091242,91.01151945682393,-0.227762303934974
2022-04-20,-0.03650540320223488,87.68910724300453,-0.2559531523977927
2022-04-21,-0.026404916361574507,85.37368370043185,-0.27559964717782215
2022-04-22,-0.022052197567867034,83.49100636037335,-0.29157426687648935
2022-04-25,0.012497943628290376,84.53447225133452,-0.28272040199908144
2022-04-26,-0.04761598986982083,80.50927967696433,-0.3168743800713224
2022-04-27,0.0010227510193097028,80.59162062481784,-0.31617571264722366
2022-04-28,0.04555688543836002,84.26312385291445,-0.285022807928325
2022-04-29,-0.047234146664660026,80.28302710242347,-0.3187941454805253
2022-05-02,0.02186035091257988,82.0380422472066,-0.30390274645702575
2022-05-03,-0.0017174630402658209,81.89714494175126,-0.30509826776241633
2022-05-04,0.04301708421809384,85.42012132293202,-0.27520562142345295
2022-05-05,-0.06060846871655709,80.24293857196658,-0.3191342988433461
2022-05-06,-0.011827866707535741,79.29383579031638,-0.3271874876023598
2022-05-09,-0.06906825135742514,73.81714920885642,-0.37365747132506066
2022-05-10,0.024308722584445854,75.61154981094916,-0.3584318845526613
2022-05-11,-0.054735681902345894,71.47290007235367,-0.39354855283847434
2022-05-12,-0.00910288463815883,70.82229050824039,-0.39906901040063003
2022-05-13,0.043518197194344514,73.90434891233313,-0.37291757709505213
2022-05-16,-0.0044120561439296374,73.57827877565136,-0.3756842999517802
2022-05-17,0.033953573507546596,76.07652427261921,-0.3544865509382774
2022-05-18,-0.0605927794772008,71.46683621397648,-0.39360000500684167
2022-05-19,0.004166065419502096,71.76457172896875,-0.3910737029573145
2022-05-20,-0.009266235785595489,71.09958428627586,-0.3967161576017614
2022-05-23,0.009917455142809875,71.80471122410742,-0.3907331171563949
2022-05-24,-0.024098213231196503,70.07434598202438,-0.4054153604138666
2022-05-25,0.013390442168538654,71.01267245939485,-0.39745360918318706
2022-05-26,0.018048089092403925,72.29431549863172,-0.38657879823941876
2022-05-27,0.02358683553098538,73.9995096281231,-0.3721101332422725
2022-05-31,0.01880099522232169,75.39077405509559,-0.36030517885721636
2022-06-01,-0.014662626003797911,74.2853473309889,-0.36968478477619937
2022-06-02,0.036216800936453776,76.97572496777066,-0.3468567840992208
2022-06-03,-0.03384100040494373,74.37078942796549,-0.3689598039330054
2022-06-06,0.0149844046385906,75.48519143004555,-0.359504042291922
2022-06-07,0.00021312039085568605,75.50127886354693,-0.35936753954307377
2022-06-08,-0.010888151247346965,74.6792095199125,-0.36634284266648887
2022-06-09,-0.02161273894241859,73.06518726013246,-0.38003790938693305
2022-06-10,-0.04449756190596179,69.81396456685403,-0.4076247108933375
2022-06-13,-0.0875406745086123,63.702403018551266,-0.4594816432639689
2022-06-14,0.010402481056388425,64.36506605919817,-0.4538589112973922
2022-06-15,0.03469453028537106,66.59818179290895,-0.4349108027553139
2022-06-16,-0.059715736407887104,62.62122232371905,-0.4686555203049221
2022-06-17,0.008549681685339754,63.15661384133373,-0.4641126941382667
2022-06-21,0.02972377278452653,65.03386668099361,-0.44818410162072053
2022-06-22,-0.010385060929062384,64.35848601305898,-0.45391474334701465
2022-06-23,0.02311482923642359,65.8461214271656,-0.4412920758909523
2022-06-24,0.04770467889760515,68.98728950650124,-0.4146390937737827
