date,ticker,drawdown
2025-09-04,NFLX,-0.0609723748142974
2025-09-04,CRM,-0.33384012627155446
2025-09-04,ORCL,-0.13036696169935347
2025-09-04,ADBE,-0.4998184116087473
2025-09-04,AVGO,-0.021513323372888138
2025-09-04,QCOM,-0.27716441109654777
2025-09-04,INTC,-0.5254041928920434
2025-09-04,BTC-USD,-0.10231916057978063
2025-09-04,ETH-USD,-0.11023930017599493
2025-09-04,SOL-USD,-0.212555376257214
2025-09-05,AAPL,-0.07134265117158911
2025-09-05,MSFT,-0.07435256500471865
2025-09-05,NVDA,-0.08811966490729428
2025-09-05,GOOGL,0.0
2025-09-05,AMZN,-0.04019662821480341
2025-09-05,META,-0.04753161674266548
2025-09-05,TSLA,-0.26887007242153615
2025-09-05,AMD,-0.2849844077095214
2025-09-05,NFLX,-0.07117300785016445
2025-09-05,CRM,-0.3154122914798627
2025-09-05,ORCL,-0.09214984919365721
2025-09-05,ADBE,-0.4930487910628719
2025-09-05,AVGO,0.0
2025-09-05,QCOM,-0.27657610265005994
2025-09-05,INTC,-0.5277183698013137
2025-09-05,BTC-USD,-0.10290789737041461
2025-09-05,ETH-USD,-0.1085328141546269
2025-09-05,SOL-USD,-0.20890761991061035
2025-09-08,AAPL,-0.07835529877582625
2025-09-08,MSFT,-0.06836857623967163
2025-09-08,NVDA,-0.08107664181211127
2025-09-08,GOOGL,-0.003194441439931639
2025-09-08,AMZN,-0.025696113705022228
2025-09-08,META,-0.04772152338301083
2025-09-08,TSLA,-0.2781227764955242
2025-09-08,AMD,-0.28370706706128634
2025-09-08,NFLX,-0.07047110329596618
2025-09-08,CRM,-0.31128986399560155
2025-09-08,ORCL,-0.06999952816596422
2025-09-08,ADBE,-0.47897205542630983
2025-09-08,AVGO,0.0
2025-09-08,QCOM,-0.27476563539850163
2025-09-08,INTC,-0.5279112209423025
2025-09-08,BTC-USD,-0.0913917750398403
2025-09-08,ETH-USD,-0.10830855046013976
2025-09-08,SOL-USD,-0.16735890695554978
2025-09-09,AAPL,-0.09203192863207121
2025-09-09,MSFT,-0.06797582699148208
2025-09-09,NVDA,-0.06770041195874943
2025-09-09,GOOGL,0.0
2025-09-09,AMZN,-0.015781178649747485
2025-09-09,META,-0.03075944983193646
2025-09-09,TSLA,-0.276934914740806
2025-09-09,AMD,-0.26284414928174404
2025-09-09,NFLX,-0.05666363799409346
2025-09-09,CRM,-0.31186321455409727
2025-09-09,ORCL,-0.05818351599649785
2025-09-09,ADBE,-0.48565451709103213
2025-09-09,AVGO,-0.025979924712781433
2025-09-09,QCOM,-0.281916632075493
2025-09-09,INTC,-0.5286825887236632
2025-09-09,BTC-USD,-0.09577692987856634
2025-09-09,ETH-USD,-0.10810793602410684
2025-09-09,SOL-USD,-0.15544662014717014
2025-09-10,AAPL,-0.12132248839305149
2025-09-10,MSFT,-0.06431070435601838
2025-09-10,NVDA,-0.031830036484342794
2025-09-10,GOOGL,-0.0019196029330572628
2025-09-10,AMZN,-0.04845904257558964
2025-09-10,META,-0.04812652836089015
2025-09-10,TSLA,-0.27522606768280844
2025-09-10,AMD,-0.24524557857503793
2025-09-10,NFLX,-0.06826813711112956
2025-09-10,CRM,-0.33777136688655185
2025-09-10,ORCL,0.0
2025-09-10,ADBE,-0.49132006603149747
2025-09-10,AVGO,0.0
2025-09-10,QCOM,-0.28060409442939227
2025-09-10,INTC,-0.5223186482014122
2025-09-10,BTC-USD,-0.07611799818090148
2025-09-10,ETH-USD,-0.09980704630666293
2025-09-10,SOL-USD,-0.1292598284477896
2025-09-11,AAPL,-0.10876940830611537
2025-09-11,MSFT,-0.06311387208066077
2025-09-11,NVDA,-0.032649132337327025
2025-09-11,GOOGL,0.0
2025-09-11,AMZN,-0.05002892147604909
2025-09-11,META,-0.04949354611971901
2025-09-11,TSLA,-0.23142164627794415
2025-09-11,AMD,-0.26355381505811015
2025-09-11,NFLX,-0.10128214945052039
2025-09-11,CRM,-0.32764291586063743
2025-09-11,ORCL,-0.06234572230211799
2025-09-11,ADBE,-0.4907535333040025
2025-09-11,AVGO,-0.026896061989107767
2025-09-11,QCOM,-0.26901769620527305
2025-09-11,INTC,-0.5254041928920434
2025-09-11,BTC-USD,-0.06353385220711372
2025-09-11,ETH-USD,-0.0766070226978306
2025-09-11,SOL-USD,-0.11071947433870588
2025-09-12,AAPL,-0.09311667187647232
2025-09-12,MSFT,-0.04648969283510529
2025-09-12,NVDA,-0.0291001340717848
2025-09-12,GOOGL,0.0
2025-09-12,AMZN,-0.05746510700820029
2025-09-12,META,-0.04355690951669455
2025-09-12,TSLA,-0.17488431099057666
2025-09-12,AMD,-0.24983440410019486
2025-09-12,NFLX,-0.11252823285729174
2025-09-12,CRM,-0.337252671154888
2025-09-12,ORCL,-0.11010254878178782
2025-09-12,ADBE,-0.49248225833537707
2025-09-12,AVGO,-0.0262466682909136
2025-09-12,QCOM,-0.26756944930099513
2025-09-12,INTC,-0.5356250826688804
2025-09-12,BTC-USD,-0.058717738237298644
2025-09-12,ETH-USD,-0.02403108280656463
2025-09-12,SOL-USD,-0.05805564828925891
2025-09-15,AAPL,-0.08292711090287685
2025-09-15,MSFT,-0.03627942066436418
2025-09-15,NVDA,-0.02948227869980402
2025-09-15,GOOGL,0.0
2025-09-15,AMZN,-0.04391475249948851
2025-09-15,META,-0.03202523572452409
2025-09-15,TSLA,-0.14550072716625462
2025-09-15,AMD,-0.23758160687215768
2025-09-15,NFLX,-0.10220812791800304
2025-09-15,CRM,-0.3379078569191245
2025-09-15,ORCL,-0.07976715148727975
2025-09-15,ADBE,-0.49576534630271674
2025-09-15,AVGO,-0.014827919819883184
2025-09-15,QCOM,-0.2703302338513738
2025-09-15,INTC,-0.5223186482014122
2025-09-15,BTC-USD,-0.06404189500406632
2025-09-15,ETH-USD,-0.06303174195384509
2025-09-15,SOL-USD,-0.08894433533899115
2025-09-16,AAPL,-0.07730918404475073
2025-09-16,MSFT,-0.0480978588894414
2025-09-16,NVDA,-0.045152460774493086
2025-09-16,GOOGL,-0.0017884395326976943
